feature,model_name,test_r2_mean,test_r2_std,test_r2_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_mae_mean,test_mae_std,test_mae_count
descriptors_basic,ridge,0.3981,,1,0.5916,,1,0.4858,,1
descriptors_basic,rf_reg,0.3613,,1,0.6094,,1,0.4596,,1
descriptors_basic,svm_reg,0.3468,,1,0.6163,,1,0.48,,1
maccs,rf_reg,0.339,,1,0.62,,1,0.4738,,1
maccs,svm_reg,0.3374,,1,0.6207,,1,0.4842,,1
morgan,rf_reg,0.3355,,1,0.6216,,1,0.4761,,1
morgan,svm_reg,0.3205,,1,0.6286,,1,0.4855,,1
maccs,xgb_reg,0.3014,,1,0.6374,,1,0.4958,,1
maccs,knn_reg,0.2914,,1,0.6419,,1,0.4938,,1
maccs,ridge,0.2837,,1,0.6454,,1,0.5326,,1
descriptors_basic,xgb_reg,0.2757,,1,0.649,,1,0.5021,,1
maccs,lgbm_reg,0.2611,,1,0.6555,,1,0.5034,,1
descriptors_basic,lgbm_reg,0.2323,,1,0.6681,,1,0.5114,,1
morgan,xgb_reg,0.2182,,1,0.6742,,1,0.5114,,1
descriptors_basic,knn_reg,0.218,,1,0.6744,,1,0.528,,1
fp2,svm_reg,0.1562,,1,0.7005,,1,0.5413,,1
fp2,rf_reg,0.1144,,1,0.7176,,1,0.5746,,1
morgan,lgbm_reg,0.1019,,1,0.7227,,1,0.5602,,1
morgan,knn_reg,0.0629,,1,0.7382,,1,0.5627,,1
morgan,ridge,0.0341,,1,0.7494,,1,0.6066,,1
fp2,knn_reg,0.0104,,1,0.7586,,1,0.5775,,1
fp2,lgbm_reg,-0.0336,,1,0.7753,,1,0.615,,1
fp2,xgb_reg,-0.1187,,1,0.8065,,1,0.5969,,1
fp2,ridge,-0.7525,,1,1.0095,,1,0.7877,,1
